stfips,year,dins,yexp2,W
"alabama","2008",.6814122,,613156
"alabama","2009",.6580621,,613156
"alabama","2010",.6313651,,613156
"alabama","2011",.6563886,,613156
"alabama","2012",.6708115,,613156
"alabama","2013",.6521544,,613156
"alabama","2014",.6886147,,613156
"alabama","2015",.7049411,,613156
"alabama","2016",.7203992,,613156
"alabama","2017",.7391647,,613156
"alabama","2018",.6955764,,613156
"alabama","2019",.7274728,,613156
"alaska","2008",.4902744,2016,63595
"alaska","2009",.471383,2016,63595
"alaska","2010",.5238693,2016,63595
"alaska","2011",.5513518,2016,63595
"alaska","2012",.4731023,2016,63595
"alaska","2013",.5791751,2016,63595
"alaska","2014",.531309,2016,63595
"alaska","2015",.6222646,2016,63595
"alaska","2016",.6549841,2016,63595
"alaska","2017",.6588825,2016,63595
"alaska","2018",.7104509,2016,63595
"alaska","2019",.7130797,2016,63595
"arizona","2008",.6098763,2014,741152
"arizona","2009",.6038413,2014,741152
"arizona","2010",.6221575,2014,741152
"arizona","2011",.6218184,2014,741152
"arizona","2012",.6052098,2014,741152
"arizona","2013",.6145284,2014,741152
"arizona","2014",.6884941,2014,741152
"arizona","2015",.7540561,2014,741152
"arizona","2016",.7492411,2014,741152
"arizona","2017",.7495877,2014,741152
"arizona","2018",.7383004,2014,741152
"arizona","2019",.7355012,2014,741152
"arkansas","2008",.6238649,2014,389081
"arkansas","2009",.6166095,2014,389081
"arkansas","2010",.6019469,2014,389081
"arkansas","2011",.6186749,2014,389081
"arkansas","2012",.6472555,2014,389081
"arkansas","2013",.660113,2014,389081
"arkansas","2014",.7246239,2014,389081
"arkansas","2015",.7809256,2014,389081
"arkansas","2016",.8168424,2014,389081
"arkansas","2017",.7961919,2014,389081
"arkansas","2018",.7798278,2014,389081
"arkansas","2019",.7786775,2014,389081
"california","2008",.5766346,2014,3657406
"california","2009",.5566983,2014,3657406
"california","2010",.5607858,2014,3657406
"california","2011",.5652276,2014,3657406
"california","2012",.567108,2014,3657406
"california","2013",.5869472,2014,3657406
"california","2014",.6892559,2014,3657406
"california","2015",.777474,2014,3657406
"california","2016",.8003533,2014,3657406
"california","2017",.8065356,2014,3657406
"california","2018",.8083317,2014,3657406
"california","2019",.791605,2014,3657406
"colorado","2008",.60423,2014,531915
"colorado","2009",.6223597,2014,531915
"colorado","2010",.624326,2014,531915
"colorado","2011",.6217457,2014,531915
"colorado","2012",.6310782,2014,531915
"colorado","2013",.6531152,2014,531915
"colorado","2014",.7511546,2014,531915
"colorado","2015",.7928613,2014,531915
"colorado","2016",.7864275,2014,531915
"colorado","2017",.7884814,2014,531915
"colorado","2018",.7949761,2014,531915
"colorado","2019",.7873109,2014,531915
"connecticut","2008",.7036601,2014,263488
"connecticut","2009",.6937909,2014,263488
"connecticut","2010",.6889572,2014,263488
"connecticut","2011",.6788563,2014,263488
"connecticut","2012",.7099507,2014,263488
"connecticut","2013",.6968524,2014,263488
"connecticut","2014",.7945667,2014,263488
"connecticut","2015",.8186108,2014,263488
"connecticut","2016",.8582738,2014,263488
"connecticut","2017",.8346497,2014,263488
"connecticut","2018",.8460665,2014,263488
"connecticut","2019",.8417684,2014,263488
"florida","2008",.5487086,,2292111
"florida","2009",.5348367,,2292111
"florida","2010",.5241162,,2292111
"florida","2011",.5269637,,2292111
"florida","2012",.5479365,,2292111
"florida","2013",.5492317,,2292111
"florida","2014",.6122136,,2292111
"florida","2015",.6683298,,2292111
"florida","2016",.6719992,,2292111
"florida","2017",.6725372,,2292111
"florida","2018",.6731184,,2292111
"florida","2019",.667375,,2292111
"georgia","2008",.5599459,,1138317
"georgia","2009",.5485352,,1138317
"georgia","2010",.5415807,,1138317
"georgia","2011",.5388681,,1138317
"georgia","2012",.5546577,,1138317
"georgia","2013",.5550773,,1138317
"georgia","2014",.6043968,,1138317
"georgia","2015",.6495978,,1138317
"georgia","2016",.6677899,,1138317
"georgia","2017",.6409279,,1138317
"georgia","2018",.6474918,,1138317
"georgia","2019",.63585,,1138317
"hawaii","2008",.7850013,2014,107703
"hawaii","2009",.7717041,2014,107703
"hawaii","2010",.7831579,2014,107703
"hawaii","2011",.7637015,2014,107703
"hawaii","2012",.7981848,2014,107703
"hawaii","2013",.7820048,2014,107703
"hawaii","2014",.8518662,2014,107703
"hawaii","2015",.8678843,2014,107703
"hawaii","2016",.8727787,2014,107703
"hawaii","2017",.8725035,2014,107703
"hawaii","2018",.8728017,2014,107703
"hawaii","2019",.8887258,2014,107703
"idaho","2008",.6452607,,154443
"idaho","2009",.6291881,,154443
"idaho","2010",.6025975,,154443
"idaho","2011",.6333872,,154443
"idaho","2012",.5993702,,154443
"idaho","2013",.6144987,,154443
"idaho","2014",.709904,,154443
"idaho","2015",.6967976,,154443
"idaho","2016",.7263795,,154443
"idaho","2017",.7448522,,154443
"idaho","2018",.7380825,,154443
"idaho","2019",.7324393,,154443
"illinois","2008",.6247448,2014,1190867
"illinois","2009",.6003809,2014,1190867
"illinois","2010",.5835595,2014,1190867
"illinois","2011",.603168,2014,1190867
"illinois","2012",.5948178,2014,1190867
"illinois","2013",.6229177,2014,1190867
"illinois","2014",.7212194,2014,1190867
"illinois","2015",.7944734,2014,1190867
"illinois","2016",.8178358,2014,1190867
"illinois","2017",.8047376,2014,1190867
"illinois","2018",.8074066,2014,1190867
"illinois","2019",.8161362,2014,1190867
"indiana","2008",.6667377,2015,680701
"indiana","2009",.6395549,2015,680701
"indiana","2010",.6257862,2015,680701
"indiana","2011",.6191132,2015,680701
"indiana","2012",.6272964,2015,680701
"indiana","2013",.6384255,2015,680701
"indiana","2014",.6878788,2015,680701
"indiana","2015",.7536123,2015,680701
"indiana","2016",.7872487,2015,680701
"indiana","2017",.7960365,2015,680701
"indiana","2018",.7965856,2015,680701
"indiana","2019",.7876524,2015,680701
"iowa","2008",.7329469,2014,289463
"iowa","2009",.7414502,2014,289463
"iowa","2010",.7321184,2014,289463
"iowa","2011",.7500499,2014,289463
"iowa","2012",.768099,2014,289463
"iowa","2013",.7527962,2014,289463
"iowa","2014",.8207864,2014,289463
"iowa","2015",.8613235,2014,289463
"iowa","2016",.8891796,2014,289463
"iowa","2017",.8782915,2014,289463
"iowa","2018",.8559089,2014,289463
"iowa","2019",.855559,2014,289463
"kansas","2008",.6715692,,272514
"kansas","2009",.6544818,,272514
"kansas","2010",.6235881,,272514
"kansas","2011",.6649476,,272514
"kansas","2012",.6647856,,272514
"kansas","2013",.6508836,,272514
"kansas","2014",.7216428,,272514
"kansas","2015",.7433004,,272514
"kansas","2016",.7653241,,272514
"kansas","2017",.7416355,,272514
"kansas","2018",.7601013,,272514
